en:Amis-Stastny_Jim:0:shuff:3,cs:Amis-Stastny_Jim:0:shuff:5,gave,give,vydaly,vydat,pf
en:Amis-Stastny_Jim:0:shuff:4,cs:Amis-Stastny_Jim:0:shuff:6,admiring,admire,obdivovat,obdivovat,impf
en:Amis-Stastny_Jim:0:shuff:4,cs:Amis-Stastny_Jim:0:shuff:6,saying,say,řekli,říci,pf
en:Amis-Stastny_Jim:0:shuff:4,cs:Amis-Stastny_Jim:0:shuff:6,doing,do,udělali,udělat,pf
en:Amis-Stastny_Jim:0:shuff:5,cs:Amis-Stastny_Jim:0:shuff:7,watched,watch,dívaje,dívat,impf
en:Amis-Stastny_Jim:0:shuff:5,cs:Amis-Stastny_Jim:0:shuff:7,saw,see,dívaje,dívat,impf
en:Amis-Stastny_Jim:0:shuff:5,cs:Amis-Stastny_Jim:0:shuff:7,look,look,dívaje,dívat,impf
en:Amis-Stastny_Jim:0:shuff:5,cs:Amis-Stastny_Jim:0:shuff:7,saw,see,spatřil,spatřit,pf
en:Amis-Stastny_Jim:0:shuff:6,cs:Amis-Stastny_Jim:0:shuff:8,catching,catch,zachytila,zachytit,pf
en:Amis-Stastny_Jim:0:shuff:9,cs:Amis-Stastny_Jim:0:shuff:11,say,say,pravil,pravit,pf
en:Amis-Stastny_Jim:0:shuff:9,cs:Amis-Stastny_Jim:0:shuff:11,said,say,pravil,pravit,pf
en:Amis-Stastny_Jim:0:shuff:10,cs:Amis-Stastny_Jim:0:shuff:12,talk,talk,mluví,mluvit,impf
en:Amis-Stastny_Jim:0:shuff:17,cs:Amis-Stastny_Jim:0:shuff:18,Do,do,Nedělejte,dělat,impf
en:Amis-Stastny_Jim:0:shuff:21,cs:Amis-Stastny_Jim:0:shuff:23,forcing,force,vnucovala,vnucovat,impf
en:Amis-Stastny_Jim:0:shuff:24,cs:Amis-Stastny_Jim:0:shuff:28,go,go,Šel,jít,impf
en:Amis-Stastny_Jim:0:shuff:24,cs:Amis-Stastny_Jim:0:shuff:28,explain,explain,vysvětlil,vysvětlit,pf
en:Amis-Stastny_Jim:0:shuff:24,cs:Amis-Stastny_Jim:0:shuff:28,go,go,dělat,dělat,impf
en:Amis-Stastny_Jim:0:shuff:24,cs:Amis-Stastny_Jim:0:shuff:28,took,take,dělat,dělat,impf
en:Amis-Stastny_Jim:0:shuff:25,cs:Amis-Stastny_Jim:0:shuff:29,goes,go,odjede,odjet,pf
en:Amis-Stastny_Jim:0:shuff:26,cs:Amis-Stastny_Jim:0:shuff:30,see,see,Chápete,chápat,impf
en:Amis-Stastny_Jim:0:shuff:30,cs:Amis-Stastny_Jim:0:shuff:33,get,get,dostal,dostat,pf
en:Amis-Stastny_Jim:0:shuff:30,cs:Amis-Stastny_Jim:0:shuff:33,tell,tell,řeknete,říci,pf
en:Amis-Stastny_Jim:0:shuff:32,cs:Amis-Stastny_Jim:0:shuff:35,institute,institute,zavedeme,zavést,pf
en:Amis-Stastny_Jim:0:shuff:32,cs:Amis-Stastny_Jim:0:shuff:35,read,read,číst,číst,impf
en:Amis-Stastny_Jim:0:shuff:32,cs:Amis-Stastny_Jim:0:shuff:35,keep,keep,psát,psát,impf
en:Amis-Stastny_Jim:0:shuff:32,cs:Amis-Stastny_Jim:0:shuff:35,write,write,psát,psát,impf
en:Amis-Stastny_Jim:0:shuff:32,cs:Amis-Stastny_Jim:0:shuff:35,lose,lose,ztratí,ztratit,pf
en:Amis-Stastny_Jim:0:shuff:39,cs:Amis-Stastny_Jim:0:shuff:41,said,say,řekl,říci,pf
en:Amis-Stastny_Jim:0:shuff:40,cs:Amis-Stastny_Jim:0:shuff:42,moved,move,Pohybovali,pohybovat,impf
en:Amis-Stastny_Jim:0:shuff:40,cs:Amis-Stastny_Jim:0:shuff:42,caused,cause,způsobili,způsobit,pf
en:Amis-Stastny_Jim:0:shuff:40,cs:Amis-Stastny_Jim:0:shuff:42,stare,stare,zírala,zírat,impf
en:Amis-Stastny_Jim:0:shuff:41,cs:Amis-Stastny_Jim:0:shuff:43,climbed,climb,Stoupali,stoupat,impf
en:Amis-Stastny_Jim:0:shuff:41,cs:Amis-Stastny_Jim:0:shuff:43,holding,hold,držíce,držet,impf
en:Amis-Stastny_Jim:0:shuff:42,cs:Amis-Stastny_Jim:0:shuff:44,refer,refer,odkázat,odkázat,pf
en:Amis-Stastny_Jim:0:shuff:44,cs:Amis-Stastny_Jim:0:shuff:47,think,think,Myslím,myslet,impf
en:Amis-Stastny_Jim:0:shuff:44,cs:Amis-Stastny_Jim:0:shuff:47,think,think,měli,mít,impf
en:Amis-Stastny_Jim:0:shuff:44,cs:Amis-Stastny_Jim:0:shuff:47,stood,stand,měli,mít,impf
en:Amis-Stastny_Jim:0:shuff:44,cs:Amis-Stastny_Jim:0:shuff:47,look,look,podívat,podívat,pf
en:Amis-Stastny_Jim:0:shuff:44,cs:Amis-Stastny_Jim:0:shuff:47,said,say,pravil,pravit,pf
en:Amis-Stastny_Jim:0:shuff:45,cs:Amis-Stastny_Jim:0:shuff:48,ring,ring,zvonit,zvonit,impf
en:Amis-Stastny_Jim:0:shuff:46,cs:Amis-Stastny_Jim:0:shuff:49,want,want,nechtěli,chtít,impf
en:Amis-Stastny_Jim:0:shuff:47,cs:Amis-Stastny_Jim:0:shuff:50,wait,wait,Nečekali,čekat,impf
en:Amis-Stastny_Jim:0:shuff:58,cs:Amis-Stastny_Jim:0:shuff:61,done,do,dělat,dělat,impf
en:Amis-Stastny_Jim:0:shuff:59,cs:Amis-Stastny_Jim:0:shuff:62,allowed,allow,dovolil,dovolit,pf
en:Amis-Stastny_Jim:0:shuff:60,cs:Amis-Stastny_Jim:0:shuff:63,said,say,řekl,říci,pf
en:Amis-Stastny_Jim:0:shuff:62,cs:Amis-Stastny_Jim:0:shuff:65,smiled,smile,Usmál,usmát,pf
en:Amis-Stastny_Jim:0:shuff:62,cs:Amis-Stastny_Jim:0:shuff:65,give,give,dodává,dodávat,impf
en:Amis-Stastny_Jim:0:shuff:63,cs:Amis-Stastny_Jim:0:shuff:66,changed,change,změnil,změnit,pf
en:Amis-Stastny_Jim:0:shuff:63,cs:Amis-Stastny_Jim:0:shuff:66,lost,lose,ztratil,ztratit,pf
en:Amis-Stastny_Jim:0:shuff:63,cs:Amis-Stastny_Jim:0:shuff:66,replied,reply,odpověděla,odpovědět,pf
en:Amis-Stastny_Jim:0:shuff:70,cs:Amis-Stastny_Jim:0:shuff:75,held,hold,držel,držet,impf
en:Amis-Stastny_Jim:0:shuff:74,cs:Amis-Stastny_Jim:0:shuff:80,playing,play,Nehrál,hrát,impf
en:Amis-Stastny_Jim:0:shuff:75,cs:Amis-Stastny_Jim:0:shuff:81,mean,mean,myslím,myslet,impf
en:Amis-Stastny_Jim:0:shuff:77,cs:Amis-Stastny_Jim:0:shuff:83,ask,ask,zeptat,zeptat,pf
en:Amis-Stastny_Jim:0:shuff:78,cs:Amis-Stastny_Jim:0:shuff:84,leave,leave,vynecháme,vynechat,pf
en:Amis-Stastny_Jim:0:shuff:84,cs:Amis-Stastny_Jim:0:shuff:91,said,say,řekl,říci,pf
en:Amis-Stastny_Jim:0:shuff:84,cs:Amis-Stastny_Jim:0:shuff:91,telling,tell,řekl,říci,pf
en:Amis-Stastny_Jim:0:shuff:84,cs:Amis-Stastny_Jim:0:shuff:91,do,do,jít,jít,impf
en:Amis-Stastny_Jim:0:shuff:84,cs:Amis-Stastny_Jim:0:shuff:91,go,go,jít,jít,impf
en:Amis-Stastny_Jim:0:shuff:85,cs:Amis-Stastny_Jim:0:shuff:92,wait,wait,čekat,čekat,impf
