en:Andric-Most_na_Drine:0:shuff:4,cs:Andric-Most_na_Drine:0:shuff:5,extinguished,extinguish,zhasne,zhasnout,pf
en:Andric-Most_na_Drine:0:shuff:6,cs:Andric-Most_na_Drine:0:shuff:7,came,come,přicházeli,přicházet,impf
en:Andric-Most_na_Drine:0:shuff:6,cs:Andric-Most_na_Drine:0:shuff:7,went,go,odcházeli,odcházet,impf
en:Andric-Most_na_Drine:0:shuff:6,cs:Andric-Most_na_Drine:0:shuff:7,hurrying,hurry,pospíchali,pospíchat,impf
en:Andric-Most_na_Drine:0:shuff:6,cs:Andric-Most_na_Drine:0:shuff:7,burned,burn,svítilo,svítit,impf
en:Andric-Most_na_Drine:0:shuff:8,cs:Andric-Most_na_Drine:0:shuff:9,caught,catch,chytají,chytat,impf
en:Andric-Most_na_Drine:0:shuff:11,cs:Andric-Most_na_Drine:0:shuff:13,spoke,speak,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:14,cs:Andric-Most_na_Drine:0:shuff:16,looked,look,Díval,dívat,impf
en:Andric-Most_na_Drine:0:shuff:14,cs:Andric-Most_na_Drine:0:shuff:16,reading,read,četl,číst,impf
en:Andric-Most_na_Drine:0:shuff:14,cs:Andric-Most_na_Drine:0:shuff:16,saying,say,říká,říkat,impf
en:Andric-Most_na_Drine:0:shuff:16,cs:Andric-Most_na_Drine:0:shuff:19,remained,remain,zůstávali,zůstávat,impf
en:Andric-Most_na_Drine:0:shuff:16,cs:Andric-Most_na_Drine:0:shuff:19,managed,manage,nepodařilo,podařit,pf
en:Andric-Most_na_Drine:0:shuff:16,cs:Andric-Most_na_Drine:0:shuff:19,see,see,zahlédnout,zahlédnout,pf
en:Andric-Most_na_Drine:0:shuff:16,cs:Andric-Most_na_Drine:0:shuff:19,overcome,overcome,přemohl,přemoci,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,catch,catch,nechytíš,chytit,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,take,take,nechytíš,chytit,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,get,get,nechytíš,chytit,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,see,see,viděli,vidět,impf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,catch,catch,dostali,dostat,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,take,take,dostali,dostat,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,get,get,dostali,dostat,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,does,do,vzali,vzít,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,do,do,vzali,vzít,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,doing,do,vzali,vzít,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,do,do,vzali,vzít,pf
en:Andric-Most_na_Drine:0:shuff:17,cs:Andric-Most_na_Drine:0:shuff:20,take,take,vzali,vzít,pf
en:Andric-Most_na_Drine:0:shuff:18,cs:Andric-Most_na_Drine:0:shuff:21,swear,swear,Přísahám,přísahat,impf
en:Andric-Most_na_Drine:0:shuff:18,cs:Andric-Most_na_Drine:0:shuff:21,swear,swear,Přísahám,přísahat,impf
en:Andric-Most_na_Drine:0:shuff:18,cs:Andric-Most_na_Drine:0:shuff:21,swear,swear,nepřísahá,přísahat,impf
en:Andric-Most_na_Drine:0:shuff:18,cs:Andric-Most_na_Drine:0:shuff:21,swear,swear,nepřísahá,přísahat,impf
en:Andric-Most_na_Drine:0:shuff:19,cs:Andric-Most_na_Drine:0:shuff:22,come,come,nastal,nastat,pf
en:Andric-Most_na_Drine:0:shuff:20,cs:Andric-Most_na_Drine:0:shuff:23,see,see,nevidí,vidět,impf
en:Andric-Most_na_Drine:0:shuff:20,cs:Andric-Most_na_Drine:0:shuff:23,see,see,nechápou,chápat,impf
en:Andric-Most_na_Drine:0:shuff:20,cs:Andric-Most_na_Drine:0:shuff:23,understand,understand,nechápou,chápat,impf
en:Andric-Most_na_Drine:0:shuff:20,cs:Andric-Most_na_Drine:0:shuff:23,understanding,understand,nechápou,chápat,impf
en:Andric-Most_na_Drine:0:shuff:20,cs:Andric-Most_na_Drine:0:shuff:23,did,do,dělají,dělat,impf
en:Andric-Most_na_Drine:0:shuff:20,cs:Andric-Most_na_Drine:0:shuff:23,made,make,dělají,dělat,impf
en:Andric-Most_na_Drine:0:shuff:24,cs:Andric-Most_na_Drine:0:shuff:26,sat,sit,seděl,sedět,impf
en:Andric-Most_na_Drine:0:shuff:30,cs:Andric-Most_na_Drine:0:shuff:32,delivered,deliver,pronesl,pronést,pf
en:Andric-Most_na_Drine:0:shuff:30,cs:Andric-Most_na_Drine:0:shuff:32,astonished,astonish,překvapila,překvapit,pf
en:Andric-Most_na_Drine:0:shuff:31,cs:Andric-Most_na_Drine:0:shuff:33,came,come,dospěly,dospět,pf
en:Andric-Most_na_Drine:0:shuff:37,cs:Andric-Most_na_Drine:0:shuff:41,find,find,najdou,najít,pf
en:Andric-Most_na_Drine:0:shuff:39,cs:Andric-Most_na_Drine:0:shuff:43,surround,surround,obklopují,obklopovat,impf
en:Andric-Most_na_Drine:0:shuff:40,cs:Andric-Most_na_Drine:0:shuff:44,imagined,imagine,představovala,představovat,impf
en:Andric-Most_na_Drine:0:shuff:40,cs:Andric-Most_na_Drine:0:shuff:44,accorded,accord,odpovídalo,odpovídat,impf
en:Andric-Most_na_Drine:0:shuff:44,cs:Andric-Most_na_Drine:0:shuff:48,began,begin,Začaly,začít,pf
en:Andric-Most_na_Drine:0:shuff:44,cs:Andric-Most_na_Drine:0:shuff:48,began,begin,nastaly,nastat,pf
en:Andric-Most_na_Drine:0:shuff:45,cs:Andric-Most_na_Drine:0:shuff:49,built,build,Postavil,postavit,pf
en:Andric-Most_na_Drine:0:shuff:47,cs:Andric-Most_na_Drine:0:shuff:52,told,tell,sděleno,sdělit,pf
en:Andric-Most_na_Drine:0:shuff:47,cs:Andric-Most_na_Drine:0:shuff:52,arrive,arrive,dojede,dojet,pf
