en:lodge-hostujici_prof:0:shuff:5,cs:lodge-hostujici_prof:0:shuff:5,want,want,Chci,chtít,impf
en:lodge-hostujici_prof:0:shuff:32,cs:lodge-hostujici_prof:0:shuff:33,Walking,walk,Jít,jít,impf
en:lodge-hostujici_prof:0:shuff:66,cs:lodge-hostujici_prof:0:shuff:72,told,tell,Řekla,říci,pf
en:lodge-hostujici_prof:0:shuff:84,cs:lodge-hostujici_prof:0:shuff:92,return,return,Nevrátila,vrátit,pf
en:lodge-hostujici_prof:0:shuff:162,cs:lodge-hostujici_prof:0:shuff:170,put,put,Položil,položit,pf
en:lodge-hostujici_prof:0:shuff:169,cs:lodge-hostujici_prof:0:shuff:176,said,say,Říkal,říkat,impf
en:lodge-hostujici_prof:0:shuff:190,cs:lodge-hostujici_prof:0:shuff:197,Phone,phone,Zavolej,zavolat,pf
en:lodge-hostujici_prof:0:shuff:236,cs:lodge-hostujici_prof:0:shuff:239,want,want,Chtěj,chtít,impf
en:lodge-hostujici_prof:0:shuff:242,cs:lodge-hostujici_prof:0:shuff:245,slow,slow,Zpomalují,zpomalovat,impf
en:lodge-hostujici_prof:0:shuff:277,cs:lodge-hostujici_prof:0:shuff:278,tries,try,Zkouší,zkoušet,impf
en:lodge-hostujici_prof:0:shuff:311,cs:lodge-hostujici_prof:0:shuff:314,rang,ring,Volal,volat,impf
en:lodge-hostujici_prof:0:shuff:354,cs:lodge-hostujici_prof:0:shuff:355,sat,sit,Seděl,sedět,impf
en:lodge-hostujici_prof:0:shuff:421,cs:lodge-hostujici_prof:0:shuff:423,need,need,Potřebuju,potřebovat,impf
en:lodge-hostujici_prof:0:shuff:423,cs:lodge-hostujici_prof:0:shuff:425,alighted,alight,Vystoupil,vystoupit,pf
en:lodge-hostujici_prof:0:shuff:488,cs:lodge-hostujici_prof:0:shuff:489,mean,mean,Myslím,myslet,impf
en:lodge-hostujici_prof:0:shuff:546,cs:lodge-hostujici_prof:0:shuff:548,told,tell,Řekl,říci,pf
en:lodge-hostujici_prof:0:shuff:554,cs:lodge-hostujici_prof:0:shuff:556,trust,trust,Doufám,doufat,impf
en:lodge-hostujici_prof:0:shuff:592,cs:lodge-hostujici_prof:0:shuff:597,entered,enter,Vstoupili,vstoupit,pf
en:lodge-hostujici_prof:0:shuff:596,cs:lodge-hostujici_prof:0:shuff:601,put,put,Dejte,dát,pf
en:lodge-hostujici_prof:0:shuff:602,cs:lodge-hostujici_prof:0:shuff:607,withdrew,withdraw,Vytáhl,vytáhnout,pf
en:lodge-hostujici_prof:0:shuff:627,cs:lodge-hostujici_prof:0:shuff:630,started,start,Nastartoval,nastartovat,pf
en:lodge-hostujici_prof:0:shuff:750,cs:lodge-hostujici_prof:0:shuff:749,heard,hear,Slyšela,slyšet,impf
en:lodge-hostujici_prof:0:shuff:778,cs:lodge-hostujici_prof:0:shuff:778,need,need,Potřebuju,potřebovat,impf
en:lodge-hostujici_prof:0:shuff:792,cs:lodge-hostujici_prof:0:shuff:790,recalled,recall,Vzpomněl,vzpomenout,pf
en:lodge-hostujici_prof:0:shuff:840,cs:lodge-hostujici_prof:0:shuff:838,published,publish,vydal,vydat,pf
en:lodge-hostujici_prof:0:shuff:879,cs:lodge-hostujici_prof:0:shuff:876,go,go,Chodí,chodit,impf
en:lodge-hostujici_prof:0:shuff:904,cs:lodge-hostujici_prof:0:shuff:902,Leaving,leave,Nechat,nechat,pf
